Name,Description,Age,Gender,Color
Nala,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",7,Male,Tricolor
Oscar,"Shy but loving, may take time to warm up but becomes deeply attached once comfortable. A loyal and sweet companion.",7,Male,White
Pepper,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",9,Female,Brindle
Sam,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",1,Female,White
Ginger,A friendly and playful dog who loves spending time with people and other animals. Always ready for a game of fetch and enjoys long walks.,2,Male,Tricolor
Scout,"Calm and loving, this dog prefers lounging by your side but still enjoys occasional playtime. Very affectionate and great with families.",1,Female,Gray
Olive,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",10,Male,Red
Dexter,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",3,Male,Cream
Harper,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",8,Male,Red
Blue,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",5,Female,Golden
Emma,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",6,Female,White
Buster,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",1,Male,Black
Annie,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",3,Male,Golden
Lucky,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",1,Female,Gray
Coco,"Energetic and curious, always exploring and eager to meet new friends. Loves outdoor adventures and keeps you on your toes.",5,Female,White
Moose,A friendly and playful dog who loves spending time with people and other animals. Always ready for a game of fetch and enjoys long walks.,3,Female,Golden
Belle,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",8,Female,White
Thor,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",10,Male,Brindle
Sasha,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",1,Male,Gray
Gus,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",10,Female,Spotted
Izzy,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",5,Female,Cream
George,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",2,Male,Brown
Remi,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",9,Female,Cream
Boomer,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",5,Female,Cream
Ella,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",7,Female,Golden
Sammy,"Shy but loving, may take time to warm up but becomes deeply attached once comfortable. A loyal and sweet companion.",8,Male,Gray
Willow,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",15,Female,White
Bruno,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",6,Female,Red
Piper,A friendly and playful dog who loves spending time with people and other animals. Always ready for a game of fetch and enjoys long walks.,6,Male,Brown
Shadow,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",10,Female,Tricolor
Riley,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",3,Male,Golden
Chance,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",5,Male,Brown
Nova,A friendly and playful dog who loves spending time with people and other animals. Always ready for a game of fetch and enjoys long walks.,5,Female,Spotted
Tank,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",7,Male,Brindle
Minnie,A friendly and playful dog who loves spending time with people and other animals. Always ready for a game of fetch and enjoys long walks.,9,Female,Gray
Rusty,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",3,Male,Tricolor
Millie,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",13,Female,Golden
Frankie,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",14,Male,Cream
Hazel,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",5,Male,Black
Apollo,"Calm and loving, this dog prefers lounging by your side but still enjoys occasional playtime. Very affectionate and great with families.",14,Male,Golden
Holly,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",9,Male,Black
Otis,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",8,Female,Cream
Marley,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",13,Male,Brindle
Ace,"Alert and brave, always ready to protect their home and loved ones. Despite their bravery, they have a soft side for cuddles.",8,Female,Gray
Honey,"Gentle and affectionate, always seeking cuddles and attention. Loves to relax but will never say no to a good walk.",10,Female,White
Chester,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",7,Female,Golden
Zoe,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",15,Female,Red
Hunter,"Calm and loving, this dog prefers lounging by your side but still enjoys occasional playtime. Very affectionate and great with families.",8,Male,Cream
Callie,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",14,Male,Golden
Prince,"Active and fun-loving, always ready to chase a ball or go for a run. Great for owners with an active lifestyle.",1,Male,Spotted
Missy,"Mischievous but sweet, often found getting into funny trouble around the house. Full of personality and love.",7,Female,Brindle
Koda,"Loyal and protective, always watching over their loved ones. A perfect companion for someone looking for a devoted friend.",5,Female,Spotted
Delilah,A friendly and playful dog who loves spending time with people and other animals. Always ready for a game of fetch and enjoys long walks.,8,Female,Brown
Ollie,"Calm and loving, this dog prefers lounging by your side but still enjoys occasional playtime. Very affectionate and great with families.",2,Male,Gray
Layla,"Smart and attentive, always ready to learn new tricks and please their owner. A quick learner who thrives on mental stimulation.",7,Male,Brown
